Nombre;Comarca;Capital;Direccion;Telefono;Email;Web;Titulo;Texto;OtrosDatos;ComoLlegar;QueVer;MasInformacion;InfoNautica;VisitaVirtual;Geolocalizacion;Coordenadas;Visualizador;Slide;SlideTitulo;SlideUrl;Kml
Santo Adriano;Camín Real de la Mesa;Villanueva;Pza. Ángel Fernández. 33115 Villanueva;985 761 061;info@santoadriano.org;http://www.santoadriano.org/turismo;Inicio de la Senda del Oso, es un paraíso para el senderismo y el cicloturismo, así como para disfrutar de la buena mesa y la tertulia. Conserva la ?joya' prerrománica que es Santo Adriano de Tuñón, y su capital, Villanueva, es el punto de partida del Desfiladero de las Xanas. Así es Santo Adriano.;Santo Adriano es la puerta de los Valles del Trubia y de la Senda del Oso, una de las vías verdes más singulares de toda España, construida sobre la vía de un antiguo ferrocarril minero. En Tuñón, justo donde el área recreativa, comienza esta senda, en la que a los pocos kilómetros se puede ver el cercado de las osas Paca y Tola. También en esta zona se encuentra el templo Prerrománico de Santo Adriano de Tuñón, fundado por el monarca asturiano Alfonso III el Magno. Asimismo, en la capital del concejo, Villanueva, un interesante puente medieval. Además, Villanueva es el punto de partida de  una conocida ruta de senderismo, la Ruta de Las Xanas, entre las muchas que se pueden hacer en un municipio donde prima la naturaleza. El área recreativa de Buyera, la ruta de las Xanas, el abrigo de Tuñón o la cueva del Conde son pues visitas obligadas para disfrutar de una naturaleza en estado puro, la misma que hace de Santo Adriano un verdadero paraíso para el BTT.;Población: 248 habitantes Superficie: 22,60 km2;Por la carretera AS-228;Santo Adriano de Tuñón (iglesia). Área recreativa de Tuñón y Senda del Oso. Desfiladero de las Xanas. Área recreativa de Buyera.;;;https://viajevirtualasturias.i-cast.es/santoadriano.html;;43.2722222,-6.001129;;/documents/11022/35220/StoAdriano1.jpg?t=1389213690174,/documents/11022/35220/StoAdriano2.jpg?t=1389213692180,/documents/11022/35220/StoAdriano3.jpg?t=1389213693794,/documents/11022/35220/StoAdriano4.jpg?t=1389213695044,;Vista de Villanueva, en el municipio de Santo Adriano,Desfiladero de Las Xanas,Área recreativa Las Xanas,Iglesia de Santo Adriano de Tuñón,;,,,,;/documents/11022/35220/Santo+Adriano.kml/116f0143-527c-4623-b35d-2c4d0074ba8c
Las Regueras;Camín Real de la Mesa;Santuyanu;Santullano, 1. 33190 Santuyanu;985 799 045;adl@aytoregueras.com;http://www.lasregueras.es;Regueros y fuentes, ríos y corrientes están en el origen de su nombre. Tierra de paso y de caminos, es etapa en el Camino de Santiago primitivo y su vinculación con la Monarquía Asturiana queda patente en la iglesia de San Pedro de Nora? Así es Las Regueras;Está en el centro de Asturias y muy cerca del mar. El agua marca su vida y su nombre, que deriva de la abundancia de corrientes que recorren su suelo y subsuelo. El río Nora dibuja parte de su orografía, y esto hace que comparta sus meandros con el vecino concejo de Oviedo, y que su más importante monumento prerrománico, la iglesia de San Pedro de Nora, lleve el nombre de este carismático e histórico río. Pero Las Regueras tiene, además de prerrománico, un notable románico y uno de sus más señeros ejemplos es la iglesia de Valsera. Así como unas termas romanas en Valdunu, que son una auténtica maravilla. Entre regueros y fuentes, el municipio tiene también un destacable patrimonio palaciego como el Palacio de Viado en Santuyanu, la capital de un concejo muy apto para el senderismo y las rutas, tales como la de los Palacios o la del Alto de Piedrafita, donde hay una necrópolis tumular?Y si de caminos se trata, no podemos obviar el de Santiago, sobre todo teniendo en cuenta que Las Regueras es una de las etapas del Camino de Santiago Primitivo, y más concretamente la siguiente a Oviedo/Uviéu? Por su ubicación estratégica, Las Regueras es tierra de caminos, de paso, de batallas - la de la Independencia, la Guerra Civil, etc. - y en su fisonomía aún quedan las huellas de algunas de ellas?;Población: 1.952 habitantes. Superficie: 65,85 km2;Por las carreteras AS-234 y AS-314;Las Regueras, la tierra hecha de agua. Iglesia Prerrománica de San Pedro de Nora. Iglesia Románica de Valsera. Necrópolis tumular de Piedrafita. Palacio de Viado en Santuyanu. Más información ?;;;https://viajevirtualasturias.i-cast.es/lasregueras.html;;43.414178,-5.9691585;;/documents/11022/33299/LasRegueras1.jpg?t=1389212881631,/documents/11022/33299/M_LasRegueras2.jpg/960f74bd-58ac-4f51-83ae-77c20c90d107?t=1448279945486,/documents/11022/33299/LasRegueras3.jpg?t=1389212892609,/documents/11022/33299/Ruta+de+los+Palacios/eeb18caa-053a-49b5-b59f-5f43c00d3f2a?t=1395397360725,;Naranco desde El Escamplero,Meandros del río Nora,Valle de San Pedro de Nora,Ruta de los Palacios,;,,,,;/documents/11022/33299/Las_Regueras.kml/e1b5ea13-b37e-4764-94c9-1fd6eea7ee1d
Tapia de Casariego;Parque Histórico del Navia;Tapia;Plaza del Ayuntamiento, 1. 33740 Tapia;985 471 099;turismotapia@hotmail.com;http://www.tapiadecasariego.es;Olas y playas ´surferas` como Anguileiro, una capital que es una de las villas marineras más interesantes de Asturias, con su puerto, faro y la mejor gastronomía del Cantábrico, palacios y casas blasonadas, las lagunas de Salave, castros?Así es Tapia de Casariego;Las mareas y las olas forman parte de su intenso paisaje. Es Tapia de Casariego, municipio de costa en el occidente de Asturias, famoso por la calidad y belleza de sus playas ?Serantes, La Paloma, Mexota, Santa Gadea, Penarronda o San Blas, entre otras -&#59; por su excelente gastronomía marinera, por sus historias de pescadores y marinos&#59; por su miradores, por sus castros que miran al mar, o por sus palacios y casas blasonadas como el de Campos o el de Cancio? La villa de Tapia, capital de concejo, cuenta con un agradable paseo marítimo, con algún que otro mirador, con un puerto con mucho encanto lleno de casas que se nos antojan colgadas sobre el mar, y con sus bares. Y para añadir un punto de ?hippysmo' y modernidad está la playa de Anguileiro, muy conocida por el campeonato de surf que desde hace décadas se celebra allí. Además está el faro, antiguo, y situado en un islote que se conecta con tierra por un dique, lo que le da un aire diferente?el mismo que tienen las escondidas lagunas de Salave, formadas artificialmente merced a la explotación de una antigua mina romana.;Población: 4.186 habitantes Superficie: 65,99 km2 Mercado semanal: Lunes;Por la autovía A-8, y por las carreteras N-634 y AS-23;Playas: Los Campos, La Ribería, La Paloma, Serantes, Mexota, Santa Gadea, etc. Piscina Marina y Área Recreativa de Casariego. Mirador de Represas y Lagunas de Salave. Ayuntamiento, Instituto y Antiguas Escuelas.;http://www.parquehistorico.org;;https://viajevirtualasturias.i-cast.es/tapiadecasariego.html;;43.5702333,-6.9439096;;/documents/11022/35270/TapiaCasariego1.jpg?t=1389213703905,/documents/11022/35270/TapiasdeCasariego2.jpg/c59a10db-49b5-4c86-a5da-27174011f396?t=1397213060957,/documents/11022/35270/TapiaCasariego3.jpg?t=1389213710254,/documents/11022/35270/TapiaCasariego4.jpg?t=1389213712048;Playa de Mexota,Vista del Puerto de Tapia,Pescando percebes,Piscinas saladas de Tapia
Navia;Parque Histórico del Navia;Navia;Jardines de Alfonso Iglesias. Avda. de la Dársena. 33710 Navia;985 473 795;turismo@ayto-navia.es;http://www.naviaturismo.com;Tierra de ilustres, de buena mesa, de historias de marinos y marineros, de rula y pescados frescos, de villas monumentales, de amantes del deporte, de astilleros, de buena leche, de castros e historias celtas. Así es Navia.;Un río marca su vida, el Navia, que desemboca en forma de poderosa ría en la capital del municipio, la villa de Navia, un apacible lugar en el que se come estupendamente, y donde se pueden practicar todo tipo de deportes náuticos gracias no solo a su ría sino a su playa, así que el surf o el piragüismo son estampas habituales. Aunque en materia deportiva lo que realmente pone a Navia y su concejo en el mapa internacional es el Descenso a Nado de la ría de Navia, prueba que cuenta con gran tradición. Pero la tierra naviega es mucho más?Conjuga la tradición castreña con la histórica y marinera de la villa monumental de Puerto de Vega, cuna de ilustres y lugar mortuorio de personajes de gran trascendencia como Gaspar Melchor de Jovellanos. Navia es industria láctea, campo, astilleros, pesca, rula, y postres únicos como el requesón con miel o la venera. En definitiva, Navia es un continuo descubrimiento, incluso literario, pues Ramón de Campoamor es uno de los ilustres nacidos en la capital del municipio?;Población: 8.982 habitantes. Superficie: 63,12 km2 Mercado semanal: Jueves;Por la Autovía A-8 y las carreteras N-634 y AS-12;La Villa de Navia y su Descenso a Nado. Puerto de Vega. Senda costera. Playa de Frexulfe. Códigos QR (Recursos Turísticos de Navia).    ;http://www.ayto-navia.es Piscina de Navia: Lunes a viernes de 8:00 a 13:30 h. y de 17:30 a 22:00 h., sábado de 10:00 a 13:30 h. Sábados por la tarde y domingos cerrado. Teléfono: 985 631 148. Nota: la piscina permanecerá cerrada durante la segunda quincena de agosto. Piscina de Anleo: de lunes a domingo de 15:30 a 20:00 h. Festivos cerrado. Teléfono: 609 887 971;;https://viajevirtualasturias.i-cast.es/navia.html;;43.5397521,-6.7245652;;/documents/11022/33754/Navia1.jpg?t=1389213091666,/documents/11022/33754/M_Navia2.jpg/1c6229b4-423a-4c3c-ab60-7de173fdf345?t=1448366139380,/documents/11022/33754/Navia3.jpg?t=1389213099883,/documents/11022/33754/Navia4.jpg?t=1389213105041,;Senda costera,Puerto de Vega,Playa de Navia,Ría de Navia,;,,,,;/documents/11022/33754/Navia.kml/257b1743-2ee0-4dc3-805a-2f73d968fff6
Cabrales;Oriente de Asturias;Carreña;Ctra. General. 33554 Las Arenas;985 846 484;otcabrales@hotmail.com,info@cabralesturismo.com,;http://www.cabrales.es;Hazañas y montañas universales, retos por doquier, un queso - el Cabrales - famoso en el mundo entero, deporte sin parar, buen ganado y buena gastronomía. Así es Cabrales;Territorio montañoso donde los haya, Cabrales está en el vigoroso corazón de los Picos de Europa pues buena parte de su territorio conforma el Macizo Central de los Picos. Muchos son los hitos en forma de cumbre y hazaña que podemos destacar de Cabrales pero hay sobremanera uno que marca esta tierra, el Picu Urriellu o Naranjo de Bulnes, la última conquista entre las grandes cumbres europeas, allá por 1904, y que durante los siglos XX y lo que va del XXI ha continuado inspirando grandes retos. Cabrales une así su historia al de nombres míticos de la exploración y la escalada como Pedro Pidal y El Cainejo ? los pioneros ? y tantos otros?algunos que dan incluso nombre a miradores como Pedro Udaondo en Asiego?Y más nombres, ésta vez de pueblos con vistas o con ambiente y hábitos de alta montaña como Pandiello, Camarmeña, o Bulnes - con funicular incluido -, Tielve, Sotres o Poncebos?sin olvidarnos de la Ruta del Cares y el río que le da nombre. Y además, a los grandes iconos de roca caliza como el Urriellu, Horcados Rojos, Cabrones, Torrecerredo, se suma uno que tiene que ver con la tradición ganadera y de pastoreo de esta tierra, y es el otro que la hace universalmente conocida: el queso de Cabrales, que cuenta incluso con una Cueva-Exposición en Arenas de Cabrales y con un concurrido festival.;Población: 2.157 habitantes Superficie: 238,29 km2 Mercados semanales: Sábado (Carreña) y jueves (Las Arenas);Por las carreteras AS-114 y AS-264;Cueva del Quesu. Camarmeña. Ruta del Cares. Picu Urriellu (Escuchar Audioguía del Picu Urriellu). Bulnes.  ;;;https://viajevirtualasturias.i-cast.es/cabrales.html;;43.3160493,-4.8459855;;/documents/11022/31657/bulnes.jpg/8aa1827c-8d65-491e-bf6e-7959a43725b6?t=1571925032227,/documents/11022/31657/mirador-pedro-udaondo-cabrales.jpg/ca35e809-868a-426d-82bb-10f36c4e2a8a?t=1558951667267,/documents/11022/31657/asiegu.jpg/200662e7-1e83-4339-a352-8b56511ee49c?t=1571925031618,/documents/11022/31657/Ruta+del+Cares.jpg/dcb42156-5494-45c5-965b-9695a5453869?t=1544452921568;Bulnes,Mirador Pedro Udaondo en Asiego,Asiegu,Ruta del Cares;,,,;/documents/11022/31657/Cabrales.kml/11981d86-60f8-4cf2-850f-44cb096318d5
Tineo;Comarca Vaqueira;Tinéu;Plaza El Fontán, 22. 33870 Tinéu;985 900 202;turismo@tineo.es;http://www.tineo.es;Tineo, segundo concejo más grande de Asturias, es tierra de Pueblos Ejemplares: Tuña y Navelgas. Tierra Jacobea, vaqueira, prehistórica, minera, de bateo de oro, de chosco, de bolo celta, caza, pesca, senderismo y con una animada capital, que es Conjunto Histórico.;Es el segundo concejo más grande de Asturias, y en su amplio territorio son muchas las referencias culturales, históricas y turísticas que hacen de Tineo un lugar con gran arraigo y personalidad. Es tierra de Pueblos Ejemplares, ya que ostentan este galardón Tuña y Navelgas. Tuña es conocido por los numerosos palacios y casonas que conforman el pueblo y también por ser la cuna del General Riego&#59; además en su entorno se toma la ruta panorámica que conduce al Dolmen de Merillés. Navelgas es la puerta de la ruta romana del oro, y el lugar donde se celebran los campeonatos nacionales e internacionales de bateo de oro, además de ser la sede del Museo del Oro. Tineo tiene una más que pujante industria y actividad agroalimentaria, siendo uno de los mayores productores de leche de Asturias y teniendo como distintivo gastronómico un manjar tan codiciado como el embutido que los tinetenses llaman chosco. Por otro lado, la Villa de Tinéu, capital del concejo, tiene una activa vida social y ferial&#59; además está declarada Conjunto Histórico, y su Museo de Arte Sacro es único en Asturias, como único es el Monasterio de Obona, una de las joyas de la Ruta Jacobea Primitiva a su paso por el concejo. En lo que se refiere a la naturaleza, no hay que perderse el entorno del embalse de Pilotuerto o el Carbayón de Valentín, por citar dos ejemplos. En lo relativo a tradiciones, una parte de éstas pueden contemplarse en el Museo Vaqueiro de Naraval, y la que sin duda es una de las más llamativas y peculiares es la modalidad de bolos conocida como celta o de Tineo, y además de los deportes autóctonos, el concejo es ideal para la caza, la pesca, el senderismo, la recolección de frutos o la micología. Es conocida también y muy celebrada la pasión por el automovilismo que se traduce en la arraigada marca que supone el Rally Villa de Tineo. Así es Tineo, minero, jacobeo, autóctono, ecológico y culto.;Población: 10.829 habitantes Superficie: 540,83 km2 Mercados semanales: Segundo domingo de cada mes (Navelgas) y los jueves (Tineo);Por las carreteras AS-215, AS-216 y AS-217;En Tineo sí es oro todo lo que reluce. Conjunto Histórico de la Villa de Tinéu y Museo de Arte Sacro Pueblos Ejemplares de Tuña y Navelgas Dolmen de Merillés y Monasterio de Obona El Carbayón de Valentín y las Hoces del Río Esva. Más información ?;http://www.museodeloro.es;;https://viajevirtualasturias.i-cast.es/tineo.html;;43.333851,-6.408835;;/documents/11022/35444/tineo.jpg/b652a2de-61bf-49c1-8d75-ca7a8186b1b7?t=1567164792638,/documents/11022/35444/tu%C3%B1a.jpg/06bbb050-c1b6-450b-a471-c639d9ca6599?t=1567164793666,/documents/11022/35444/embalse-de-la-barca.jpg/877c1984-eb83-485b-a842-9e14bf9d651d?t=1567164790448,/documents/11022/35444/navelgas.jpg/7d8b20f4-59d1-48da-9d70-bbf45da035e8?t=1567164791726;Vistas de la Villa de Tineo,Pueblo de Tuña en Tineo,Embalse de la Barca en Tineo,Pueblo de Navelgas en Tineo
Allande;Comarca Vaqueira;Pola de Allande;Parque del Toral. 33880 Pola de Allande;985 807 004;info@comarca-vaqueira.net;http://www.allande.es;Prehistórico, castreño, romano, rural e indiano. Así es Allande, uno de los territorios más extensos del Principado de Asturias;Allande y sus habitantes vivieron con intensidad la Prehistoria y la Edad Antigua, y de ello da fe el Castro de San Chuis, testimonio de la Edad de los Metales, y también de la ocupación romana en pos de la ?fiebre del oro' que el Imperio vivió en la zona. La Edad Media la representa el imponente Palacio de Cienfuegos, que despliega su poderío sobre la capital del concejo, un pueblo afable y abierto donde se puede disfrutar de la gastronomía, la cultura y las tradiciones. Además, Allande es tierra de extraordinaria riqueza agrícola y ganadera, es tierra de grandes casas de labranza y una de las cunas de la mejor ternera asturiana, es tierra de grandes espacios protegidos donde se puede vivir la naturaleza en estado puro, y es tierra también de gentes valerosas que viajaron a ultramar y fruto de la fusión cultural al otro lado del océano es la arquitectura y cultura indiana que destila el municipio, algunos de cuyos ejemplos pueden contemplarse en la propia capital del concejo.;Población: 1.939 habitantes Superficie: 369,41 km2 Mercado semanal: Los días 18 de cada mes;Por las carreteras AS-14, AS-217 y AS-219;Pola de Allande y la arquitectura indiana. El palacio de Cienfuegos y La Braña El Campel El Castro de San Chuis y Santa María de Celón. El pueblo de San Emiliano.;;;https://viajevirtualasturias.i-cast.es/allande.html;;43.2717106,-6.6110508;;/documents/11022/31026/montefurado-allande.jpg/ce7d9c17-017c-423d-b132-1631401f48fd?t=1572262394401,/documents/11022/31026/Vista+panor%C3%A1mica+de+Pola+de+Allande.jpg/fde1aa43-661f-4e51-91f0-1558a739e2b8?t=1546423998473,/documents/11022/31026/lago-allande.jpg/1c6c796e-8438-4eef-acd7-ddcecf1210fe?t=1572262739597,/documents/11022/31026/Allande1.jpg/7e080d4f-aafd-4f98-9dc8-b15207c3c4c1?t=1446047050511;Montefurado en Allande,Vista panorámica de Pola de Allande,Pueblo de Lago en Allande,Puerto de El Palo en Allande;,,,;/documents/11022/31026/Allande.kml/e468d913-88cc-467e-9ed7-384cbc44e6c9
Llanes;Oriente de Asturias;Llanes;C/ Marqués de Canillejas, 1 (antigua Lonja del Pescado) Llanes;985 400 164;turismo@ayuntamientodellanes.com;http://www.llanes.es;Una capital y villa marinera de impresionante casco histórico, tradición marinera, etnografía, folclore, gastronomía, playas y montañas que miran a los picos de Europa. Cultura tradicional y de vanguardia, historias de indianos y cineastas enamorados?Y mucho más. Así es Llanes;Con Llanes todo, sin Llanes nada, fuera de Llanes todo se acaba?'. Tal vez esta estrofa popular resume la esencia de un territorio y el espíritu de sus habitantes. El concejo de Llanes, que pasa por ser uno de los de mayor tradición turística de Asturias, atesora en su villa capitalina uno de los cascos históricos mejor conservados de todo el Principado, en el que reúne un gran número de palacios y casas blasonadas, además de la Basílica y un sinfín de tiendas, restaurantes y sidrerías que convierten el lugar histórico en un ir y venir de gente todo el año. El casino, la torre medieval, el paseo de San Pedro, la playa del Sablón, el palacio del Duque de Estrada, el faro, el puerto, los Cubos de la Memoria, etc. componen un conjunto que hace de esta villa marinera una de las más bellas del norte de la Península Ibérica. Y si bella es la capital, el municipio no desmerece en absoluto y tiene de todo: el itinerario Llanes de cine, la ruta de los bufones, la ruta de los colores por el valle Oscuru, el Camín Encantáu en Ardisana, la ruta del río Purón, la senda La Cuesta - en el entorno del campo de golf -, la senda costera entre Bustio y Guadamía, el Idolo de Peña Tú? y más de treinta playas de espectacular paisaje - pequeñas calas o grandes arenales-, donde se pueden practicar todo tipo de deportes náuticos, y que sin duda son una de las joyas naturales del municipio y uno de los atractivos más demandados por los viajeros y por los artistas (son numerosos los directores de cine, televisión, publicidad, etc. que las han elegido para sus obras). Sin olvidar la gran cultura tradicional y folclórica del municipio, muy viva en sus aldeas, que hacen de la gaita, el traje de llanisca, la cocina tradicional, las leyendas, la literatura, el cine o las fascinantes historias de indianos, un universo único e irrepetible.;Población: 13.893 habitantes. Superficie: 263,6 km2 Mercados semanales: Martes (Llanes), viernes (Posada de Llanes) y sábado (Nueva de Llanes);Por la Autovía A-8 y la carretera N-634;Llanes, cuando ir de playa se convierte en mucho más.  Casco Histórico de la Villa de Llanes. Senda costera y Bufones. Camín Encantáu y Ruta de los Colores. Cualquiera de las espectaculares playas de Llanes. Escuchar Audioguía de Llanes Más información ? ;https://www.llanesdecine.com;;https://viajevirtualasturias.i-cast.es/llanes.html;;43.419319,-4.755124;;/documents/11022/33504/Playa_de_Cue.jpg/7ff61326-55d6-4b95-9f64-7097987f50e4?t=1467017530579,/documents/11022/33504/07152_Puerto_de_Llanes.jpg/5aa5b1d7-4e8c-448e-8648-21829bf03434?t=1467017522021,/documents/11022/33504/07124_Ria_de_+Niembro_Celorio_Llanes.jpg/7c7a99ce-f6c9-49e8-a0af-0dea349610b7?t=1467017511909,;Playa de Cue,Puerto de Llanes,Ría de Niembro, Celoriu,Llanes;,,,http://www.youtube.com/watch?v=jQUEjGHYHP8;/documents/11022/33504/Llanes.kml/ce4f98cb-8e9e-4cd8-ad89-65bba44d6e6c
Villanueva de Oscos;Oscos-Eo;Vilanova;Plaza del Ayuntamiento. 33777 Vilanova;985 626 084 / 985 626 124;ayuntamiento@villanuevadeoscos.es;http://www.oscoseoturismo.com;Paraíso para el senderismo y el ?geocaching', Villanueva de Oscos es ejemplo de la ?arquitectura desnuda' del occidente astur, y nos permite disfrutar con una visita al Ecomuseo del Pan, al Conjunto Monástico de Santa María en la capital del concejo, Vilanova, o a sus múltiples rutas mineras. Así es Villanueva de Oscos.;Como sus dos compañeros de comarca, el municipio de Villanueva de Oscos se antoja al viajero como un verdadero remanso de paz para disfrutar de una naturaleza amable y profundamente apacible que invita a caminar, a pie, en bici, y desde luego siempre de una forma respetuosa con el medio. Tanto es así que el concejo tiene puestas en valor numerosas rutas de senderismo y ?geocaching', además de ofrecer una red de servicios turísticos donde se puede disfrutar con la atmósfera típica del occidente de Asturias y con las esencias de su cocina tradicional. Base de esta cocina es la fabricación casera y ecológica del pan, una experiencia que conoceremos al visitar el Ecomuseo del Pan, en Santa Eufemia, no solo por las explicaciones del guía sino porque tal vez podamos participar en algún taller de fabricación del mismo. En toda la zona podremos fotografiar la arquitectura típica de la zona, ésa que el arquitecto Félix Gordillo bautizo como ?arquitectura desnuda', y que basa su identidad en la piedra, la pizarra negra, la madera y el cristal, y hablando de arquitectura no podemos marchar de Villanueva sin acercarnos al Conjunto Monástico de Santa María, ubicado en la tranquila capital del municipio, Vilanova. Además, como otros territorios del occidente asturiano, Villanueva de Oscos fue reserva aurífera del Imperio romano, y conserva la huella de aquellas explotaciones mineras de oro, así como de otras de hierro, cobre, plomo y zinc.;Población: 404 habitantes Superficie: 72,98 km2;Por la carretera AS-11;Los Oscos, Pueblo Eejmplar de Asturias 2016. Conjunto Monástico de Santa María de Villanueva de Oscos. Ecomuseo del Pan en Santa Eufemia. Minas de oro, hierro, cobre, plomo y zinc. Rutas de senderismo y geocaching. Más información ?;;;https://viajevirtualasturias.i-cast.es/villanuevadeoscos.html;;43.3113918,-6.9864039;;/documents/11022/35622/VillanuevaOscos3.jpg/e78eaa27-c994-4fb2-8d84-e10d2f723af9?t=1389217391693,/documents/11022/35622/Atardecer_en_la_+Bobia_Villanueva_de_Oscos.jpg/2c1dea47-0c92-4ccd-b588-8e831cdbe010?t=1469618934608,/documents/11022/35622/VillanuevadeOscos4.jpg/44f287ff-983d-4817-b4d1-75bb6dab68d3?t=1402381973290,;Villanueva de Oscos,Atardecer en La Bobia, Villanueva de Oscos,Vista de Villanueva de Oscos,Vídeo;,,,https://www.youtube.com/watch?v=ocbrMdi8FbE;/documents/11022/35622/Villanueva_de_Oscos.kml/39d706de-6e8d-46cd-a4f8-07ce26bfe455
Piloña;Oriente de Asturias;L'Infiestu;C/ Covadonga, 9. 33530 L'Infiestu;985 710 013;info@ayto-pilona.es / info@tierradeasturcones.es;http://www.tierradeasturcones.es;"Bienvenidos a Piloña, ""Tierra de Asturcones"", en el Oriente de Asturias te esperan montañas y bosques repletos de vida, recónditos valles y majadas, atravesados por ríos y arroyos llenos de color, conjuntos etnográficos únicos y especies autóctonas míticas. El tiempo se para en la Comarca del Sueve.";Piloña cuenta con un extenso y conservado entorno natural, envuelto en montañas, sierras y picos, que lo convierte en destino preferente para la práctica de actividades de montaña. Cuenta con tres núcleos de población importantes, L'Infiestu, su capital, Villamayor y Sebares. En la villa de Infiesto, el viajero encontrará el Santurario de la Virgen de la Cueva, situado a la vera del río del mismo nombre, cuyos primeros testimonios escritos datan del siglo XVI, aunque existen leyendas que se remontan varios siglos atrás. Rehabilitado recientemente, el recinto dispone de una amplia área recreativa. En L'Infiestu también encontramos la Casa del Tiempo, que ofrece a sus visitantes un recorrido por la historia de la relojería, con más de 100 relojes y 500 piezas de relojería de diversas épocas y procedencias. De obligada visita es el ábside de Santa María de Villamayor, parte de la antigua abadía datada en el año 1003 y declarado monumento nacional en 1931. En Sebares encontramos la iglesia de San Pedro y en la parroquia de Sorribes, la iglesia de San Pablo y el Palacio de Sorribes de los siglos XVI y XVII respectivamente e históricamente ligados a los condes de Peñalva. En Espinaréu nos espera un conjunto etnográfico único, una de las mayores concentraciones de hórreos de España, y punto de partida de numerosas rutas de montaña, como la que lleva al Pico Vízcares, techo del concejo con 1420 metros de altura. Contamos también con varios espacios protegidos, como la Sierra del Sueve, hogar del mítico asturcón, donde este caballo, único en el mundo, vive en completa libertad. En agosto se celebra la fiesta del Asturcón, declarada de Interés Turístico Nacional, en la majada de Espineres, allí se lleva a cabo el marcaje de potros y exhibiciones de diversos deportes y actividades tradicionales. En Borines/Boriñes se localiza la Cueva del Sidrón, de gran importancia arqueológica y paleoantropológica, la riqueza natural de la zona la hizo que fuera declarada Reserva Natural Parcial. Piloña es la capital de la avellana, este fruto forma parte de la identidad de nuestro concejo, que celebra un importante festival anual dedicado a este recurso tradicional.;Población: 8.160 habitantes. Superficie: 283,89 km2 Mercado semanal: Lunes;Por la carretera N-634;Las 10 mejores cosas que ver y hacer en Piloña. Espinaredo - La Pesanca - Pico Vizcares. Santuario de la Virgen de la Cueva. Sierra del Sueve, majada de Espineres y Fiesta del Asturcón (Agosto). Ábside Románico y barrio del Valledal en Villamayor.;Planificador de viajes de Piloña http://inventrip.com/pilonainfiesto/movil/449 Comarca de Picos de Europa http://inventrip.com/pilonainfiesto/movil/473 Descubre Piloña http://inventrip.com/pilonainfiesto/movil/470;;https://viajevirtualasturias.i-cast.es/pilona.html;;43.3471387,-5.3630233;;/documents/11022/34184/Pilona1.jpg/848d1bc1-8766-4875-8d79-78ee628334f2?t=1568968031851,/documents/11022/34184/Pilona2.jpg/dcb97154-b3e8-4acf-af3f-d310475189d7?t=1568968092538,/documents/11022/34184/Pilona3.jpg/2798b757-b965-4d1b-ae61-68b6ab3f7cbc?t=1568968130356,/documents/11022/34184/Pilona4.jpg/2bf6086c-733b-48dc-8aef-afc2366c0279?t=1568968202868;Espinaréu, Piloña,Valle de Borines, Piloña,La Cueva en Infiesto, Piloña,La Pesanca, Piloña;,,,;/documents/11022/34184/Pilona.kml/32db6bbe-6958-4cc5-8101-dc332eece8a9
